method,memory_depth,best_fitness,time_taken,strategy_bits
GA,1,280.4,82.22502589225769,5
EDA,1,280.4,79.96820569038391,5
HillClimbing,1,280.4,0.4407660961151123,5
TabuSearch,1,280.4,3.5784130096435547,5
GA,2,240.0,89.64413046836853,17
EDA,2,240.0,105.77147459983826,17
HillClimbing,2,240.0,1.315148115158081,17
TabuSearch,2,240.0,17.99630308151245,17
GA,3,240.6,117.05098938941956,65
EDA,3,240.6,111.14589929580688,65
HillClimbing,3,240.6,9.112536191940308,65
TabuSearch,3,240.2,66.19003081321716,65
GA,4,241.2,99.96747517585754,257
EDA,4,241.2,100.65270900726318,257
HillClimbing,4,241.2,41.365285873413086,257
TabuSearch,4,240.8,357.7939763069153,257
GA,5,241.8,108.46147441864014,1025
EDA,5,241.8,112.52668333053589,1025
HillClimbing,5,241.8,184.78343057632446,1025
TabuSearch,5,241.4,1140.9594478607178,1025
