train_size,model,accuracy,precision,recall,f1,memory_depth
500,RandomForest,0.81,0.6666666666666666,0.1,0.17391304347826086,2
500,LogisticRegression,0.81,0.6666666666666666,0.1,0.17391304347826086,2
500,SVM,0.81,0.6666666666666666,0.1,0.17391304347826086,2
500,NeuralNetwork,0.81,0.6666666666666666,0.1,0.17391304347826086,2
500,GradientBoosting,0.81,0.6666666666666666,0.1,0.17391304347826086,2
1000,RandomForest,0.815,0.5652173913043478,0.325,0.4126984126984127,2
1000,LogisticRegression,0.815,0.5652173913043478,0.325,0.4126984126984127,2
1000,SVM,0.815,0.5652173913043478,0.325,0.4126984126984127,2
1000,NeuralNetwork,0.815,0.5652173913043478,0.325,0.4126984126984127,2
1000,GradientBoosting,0.815,0.5652173913043478,0.325,0.4126984126984127,2
2000,RandomForest,0.8075,0.631578947368421,0.14634146341463414,0.2376237623762376,2
2000,LogisticRegression,0.8075,0.631578947368421,0.14634146341463414,0.2376237623762376,2
2000,SVM,0.8075,0.631578947368421,0.14634146341463414,0.2376237623762376,2
2000,NeuralNetwork,0.82,0.6041666666666666,0.35365853658536583,0.4461538461538462,2
2000,GradientBoosting,0.8075,0.631578947368421,0.14634146341463414,0.2376237623762376,2
