method,memory_depth,best_fitness,time_taken,strategy_bits
GA,1,252.86360516856521,0.27407407760620117,5
EDA,1,282.3489286802844,0.10105180740356445,5
HillClimbing,1,229.34709737303487,0.21555447578430176,5
TabuSearch,1,229.34709737303487,0.013508081436157227,5
GA,2,255.18472183964656,3.481999397277832,17
EDA,2,252.77892661983495,4.160150527954102,17
HillClimbing,2,235.4553311417091,1.732919692993164,17
TabuSearch,2,235.65646176002178,1.3559339046478271,17
GA,3,258.25353847407104,4.256178855895996,65
EDA,3,254.21886131443372,4.573124170303345,65
HillClimbing,3,229.34709737303487,5.049932956695557,65
TabuSearch,3,235.65646176002178,4.505257844924927,65
GA,4,255.18472183964656,4.929320335388184,257
EDA,4,252.52947268596034,4.954365491867065,257
HillClimbing,4,235.33867479350891,5.156295537948608,257
TabuSearch,4,223.61228513489502,4.711110830307007,257
GA,5,254.37183989175566,5.32680082321167,1025
EDA,5,251.43445840579867,5.398066997528076,1025
HillClimbing,5,219.44580345829968,5.240302085876465,1025
TabuSearch,5,223.7438316300286,4.616238117218018,1025
