train_size,model,accuracy,precision,recall,f1,memory_depth
100,RandomForest,0.75,0.3333333333333333,0.25,0.2857142857142857,2
100,LogisticRegression,0.8,0.0,0.0,0.0,2
100,SVM,0.8,0.0,0.0,0.0,2
100,NeuralNetwork,0.75,0.3333333333333333,0.25,0.2857142857142857,2
100,GradientBoosting,0.75,0.3333333333333333,0.25,0.2857142857142857,2
200,RandomForest,0.775,0.42857142857142855,0.375,0.4,2
200,LogisticRegression,0.775,0.42857142857142855,0.375,0.4,2
200,SVM,0.775,0.42857142857142855,0.375,0.4,2
200,NeuralNetwork,0.775,0.42857142857142855,0.375,0.4,2
200,GradientBoosting,0.775,0.42857142857142855,0.375,0.4,2
